ID,Artist,Title,Medium,Links,Details,Size,Category,Owner,Location,Gallery,Status,Value.DRK,Value.FS,Value.Safeco,Acquired,ID.FS,ID.BK,Distributed
116,"Carlson, George",Horses,Bronze,"https://www.georgecarlsonart.com/
https://owingsgallery.com/viewing-room/5-george-carlson/",,7 1/2 in,Fine Art,Bill,Portland,Artist Studio,Completed,2800,"$2,800.00",,2005,44,116,2021
20,"Chihuli, Dale",Old Gold Spotted Seaform Set,Glass,https://www.chihuly.com/work/seaforms,Blown glass set of two,6x10x5,Fine Art,Kevin,Portland,Severn,Completed,10000,"$10,000.00",10000,1997,57,20,2021
1,"Coggins, William",Red Plains,Acrylic on Paper,,"Don't hang without plexiglass.  Keep out of direct sunlight.
Could replace with glass but would require re-framing",49x76,Fine Art,Chris,Portland,Bowles Sorokko,Completed,5000,"$5,000.00",5000,1990,69,1,2021
35,"Coignard, James",Presence,Carborundum Gravure with Collage,,"#27 of 75
C31985",100cm x 75cm,Fine Art,Bill,Scottsdale,Nahan Galleries,Divide,3000,"$3,000.00",,1995,66,35,2025
39,"Cooper, Kelly",Evening Drink,"Oil, Oil, Pastel, Acrylic",,"Oil, Pastel, Acrylic",30x44,Fine Art,Chris,Portland,Artist,Completed,2300,"$2,300.00",,1995,32,39,2021
101,"Cooper, Kelly",Fall Sheep Migration,Pastel,,,27x31,Fine Art,Kevin,Portland,Janns,Completed,950,$950.00,,1997,33,101,2021
102,"Cooper, Kelly",Angel 1995,Oil on Paper,,,24x19,Fine Art,Jean,Scottsdale,Janns,Divide,950,$950.00,,1996,5,102,2025
106,"Cooper, Kelly",Tuscan House,Pastel,,,11x13,Fine Art,Jean,Portland,Janns,Completed,750,$650.00,,,59,106,2021
107,"Cooper, Kelly",Tulip in Majesty 95,Pastel,,,21x14,Fine Art,Cathy,Scottsdale,Janns,Divide,650,$650.00,,1997,96,107,2025
226,"Cotterill, Tim",Ziggy,Bronze Cast,,"Colored Gekko, edition 148 of 1000, original price $1100-$1300","8""",,Bill,Scottsdale,,Divide,250,,,,176,226,2025
14,"Cumming, William",Runner,Watercolor,,,12x9,Fine Art,Cathy,Portland,Woodside/Braeseth,Completed,1450,"$1,450.00",,1991,74,14,2021
FS175,Damian Charette,Native American Chiefs,,,,,Fine Art,Jean,Scottsdale,,Divide,,"$1,200.00",,,175,,2025
217,"De la Vega, Angela Mia",Bronze girl “Joyful”,Bronze,"https://www.delavegastudios.com/artwork/19255-joyful-mini?artistsid=1012",Edition 36/100 (#217),,Fine Art,Cathy,Portland,,Completed,,"$3,500.00",,,14,217,2021
18,"Devoe, Robert",Strollers Abroad,Oil on Canvas,,"There are various versions of this piece, “Joyful”.  I think this one is the “mini” which is 13.5” tall.",11x22,Fine Art,Jean,Portland,Severn,Completed,1475,"$1,475.00",,1992,86,18,2021
38,"Dewey, Carolyn",Mt Hood,Oil,,At Mt. Hood,,Fine Art,,Scottsdale,Artist,Stays,2400,,,1992,54,38,
FS149,"Dill, Laddie John",Pair Cement Glass Oxides,,https://www.laddiejohndill.com/biography,Can be hung horizontally or vertically,2 - 12x24”,Fine Art,Bill,Scottsdale,,Divide,,,,,149,,2025
215,"Dine, Jim",Body,Print,"https://www.richardgraygallery.com/artists/jim-dine
https://en.wikipedia.org/wiki/Jim_Dine","""BD"" written on sticker.  2/30",,Fine Art,Jean,Portland,Gallery 601 Boise,Completed,,,,,93,215,2021
12,"Douglas, John",Tibetan Pheasant,Print,,Unclear where this ended up,23x21,,,Scottsdale,NJ,,1500,,,,,12,
223,"Earheart, David",Untitled,,,,14x14,Fine Art,Chris,Portland,,Completed,,,,,116,223,2021
8,"Ekooniak, Norman",Spirit of Liberty,AP,"https://www.cbc.ca/news/canada/ottawa/inuit-artist-normee-ekoomiak-dies-1.809033#:~:text=Normee Ekoomiak was a prolific Inuit artist,and struggled with addictions throughout his life.",,24x36,Fine Art,Kevin,Scottsdale,Trans Eastern Trad,Divide,3000,"$3,000.00",,1988,79,8,2025
3,"Engel, Nissan",Cristal Suite (4),Aquaprint,,Four panels,12x10,Fine Art,Cathy,Portland,Nahan (NY),Completed,2000,"$2,000.00",,1991,25,3,2021
36,"Erlebacher, Martha",Still Life Supreme '83,Watercolor on Paper,"https://www.invaluable.com/auction-lot/martha-mayer-erlebacher-still-life-supreme-poster-228-c-a0443f59dd?srsltid=AfmBOorNVVMcSnK1gMAUBfxpP7QOfk1tNlCSW56Ws2UvbEOyF73Q2yad
https://www.artforum.com/events/martha-meyer-erlebacher-213227/",Comes with the gallery poster featuring this work as well as a color transparency used for reproductions.  It appears the cost basis was $2950.,,Fine Art,Kevin,Portland,Janns,Completed,2950,"$7,000.00",7000,1997,85,36,2021
70,"Fellini, Melinda",Red Mountain Meadow,Oil on Canvas,https://art.xanadugallery.com/collections/melinda-fellini?srsltid=AfmBOoq4Wktw7XMxaYek877soXSrK0NSfQEUnpgQ9-M6HBFWSTgXF5oE,,48x36,Fine Art,Chris,Portland,Xanadu,Completed,6000,"$6,000.00",6000,2003,68,70,2021
66,"Fellini, Melinda",Dawn,Oil on Board,https://art.xanadugallery.com/collections/melinda-fellini?srsltid=AfmBOoqs-Xh2emHIcMpi_rblOB9zloY3aEjNRvpMpxDMvWfn4ycbfXMF,,30 inx24 in,Fine Art,Cathy,Portland,Xanadu  Gallery,Completed,3250,"$3,250.00",,2005,28,66,2021
